test_path, alpha, beta, total_weighted_sum, total_computation_time, total_pred_time, total_opti_time, self.precision*100 
./sample_data/artificial/testlog_0806_1_90.csv, 0.2, 0.2, 4793, 45.256028175354004, 41.978485345840454, 3.27754282951355, 0.0% 
test_path, alpha, beta, total_weighted_sum, total_computation_time, total_pred_time, total_opti_time, self.precision*100 
./sample_data/artificial/testlog_0806_1_90.csv, 0.2, 0.2, 4890, 45.71613430976868, 42.31598901748657, 3.4001452922821045, 10.0% 
test_path, alpha, beta, total_weighted_sum, total_computation_time, total_pred_time, total_opti_time, self.precision*100 
./sample_data/artificial/testlog_0806_1_90.csv, 0.2, 0.2, 4973, 45.25769066810608, 41.8567008972168, 3.4009897708892822, 20.0% 
test_path, alpha, beta, total_weighted_sum, total_computation_time, total_pred_time, total_opti_time, self.precision*100 
./sample_data/artificial/testlog_0806_1_90.csv, 0.2, 0.2, 4953, 47.15194225311279, 43.85240983963013, 3.299532413482666, 30.0% 
test_path, alpha, beta, total_weighted_sum, total_computation_time, total_pred_time, total_opti_time, self.precision*100 
./sample_data/artificial/testlog_0806_1_90.csv, 0.2, 0.2, 4933, 46.48353171348572, 43.12730956077576, 3.356222152709961, 40.0% 
test_path, alpha, beta, total_weighted_sum, total_computation_time, total_pred_time, total_opti_time, self.precision*100 
./sample_data/artificial/testlog_0806_1_90.csv, 0.2, 0.2, 4867, 45.79308748245239, 42.121527433395386, 3.671560049057007, 50.0% 
test_path, alpha, beta, total_weighted_sum, total_computation_time, total_pred_time, total_opti_time, self.precision*100 
./sample_data/artificial/testlog_0806_1_90.csv, 0.2, 0.2, 4879, 45.75617218017578, 42.12648797035217, 3.6296842098236084, 60.0% 
test_path, alpha, beta, total_weighted_sum, total_computation_time, total_pred_time, total_opti_time, self.precision*100 
./sample_data/artificial/testlog_0806_1_90.csv, 0.2, 0.2, 4868, 46.42130994796753, 42.977335691452026, 3.443974256515503, 70.0% 
test_path, alpha, beta, total_weighted_sum, total_computation_time, total_pred_time, total_opti_time, self.precision*100 
./sample_data/artificial/testlog_0806_1_90.csv, 0.2, 0.2, 4851, 46.198379039764404, 42.86425590515137, 3.334123134613037, 80.0% 
test_path, alpha, beta, total_weighted_sum, total_computation_time, total_pred_time, total_opti_time, self.precision*100 
./sample_data/artificial/testlog_0806_1_90.csv, 0.2, 0.2, 4809, 45.63848090171814, 42.34020519256592, 3.2982757091522217, 90.0% 
test_path, alpha, beta, total_weighted_sum, total_computation_time, total_pred_time, total_opti_time, self.precision*100 
./sample_data/artificial/testlog_0806_1_90.csv, 0.2, 0.2, 4734, 45.15544056892395, 41.93369126319885, 3.2217493057250977, 100.0% 
test_path, alpha, beta, total_weighted_sum, total_computation_time, total_pred_time, total_opti_time, self.precision*100 
./sample_data/artificial/testlog_0806_1_110.csv, 0.2, 0.2, 5914, 54.8785080909729, 51.586556911468506, 3.2919511795043945, 0.0% 
test_path, alpha, beta, total_weighted_sum, total_computation_time, total_pred_time, total_opti_time, self.precision*100 
./sample_data/artificial/testlog_0806_1_110.csv, 0.2, 0.2, 6033, 55.09947395324707, 51.68731141090393, 3.4121625423431396, 10.0% 
test_path, alpha, beta, total_weighted_sum, total_computation_time, total_pred_time, total_opti_time, self.precision*100 
./sample_data/artificial/testlog_0806_1_110.csv, 0.2, 0.2, 6058, 54.856778621673584, 51.46476101875305, 3.3920176029205322, 20.0% 
test_path, alpha, beta, total_weighted_sum, total_computation_time, total_pred_time, total_opti_time, self.precision*100 
./sample_data/artificial/testlog_0806_1_110.csv, 0.2, 0.2, 5925, 54.956668853759766, 51.60422229766846, 3.3524465560913086, 30.0% 
test_path, alpha, beta, total_weighted_sum, total_computation_time, total_pred_time, total_opti_time, self.precision*100 
./sample_data/artificial/testlog_0806_1_110.csv, 0.2, 0.2, 5960, 54.56791114807129, 51.19151949882507, 3.376391649246216, 40.0% 
test_path, alpha, beta, total_weighted_sum, total_computation_time, total_pred_time, total_opti_time, self.precision*100 
./sample_data/artificial/testlog_0806_1_110.csv, 0.2, 0.2, 5950, 54.85860896110535, 51.50529742240906, 3.353311538696289, 50.0% 
test_path, alpha, beta, total_weighted_sum, total_computation_time, total_pred_time, total_opti_time, self.precision*100 
./sample_data/artificial/testlog_0806_1_110.csv, 0.2, 0.2, 6001, 54.54482698440552, 51.210137605667114, 3.3346893787384033, 60.0% 
test_path, alpha, beta, total_weighted_sum, total_computation_time, total_pred_time, total_opti_time, self.precision*100 
./sample_data/artificial/testlog_0806_1_110.csv, 0.2, 0.2, 6081, 54.749714851379395, 51.423150062561035, 3.3265647888183594, 70.0% 
test_path, alpha, beta, total_weighted_sum, total_computation_time, total_pred_time, total_opti_time, self.precision*100 
./sample_data/artificial/testlog_0806_1_110.csv, 0.2, 0.2, 6020, 55.07329249382019, 51.69669532775879, 3.3765971660614014, 80.0% 
test_path, alpha, beta, total_weighted_sum, total_computation_time, total_pred_time, total_opti_time, self.precision*100 
